dataset,target,setting,use_weather,n_folds,n_samples,MAE,RMSE,R2
seattle,temp_max,univariate,False,10,1455,2.4407110054417163,3.0979846291473394,0.8223466707968479
seattle,temp_max,multivariate,False,10,1455,2.6476355865126626,3.373230464778322,0.7893764826412168
seattle,temp_max,multivariate_with_weather,True,10,1455,2.8259693958807444,3.6005026564298253,0.7600387560770967
seattle,temp_min,univariate,False,10,1455,1.7043210515195562,2.1659964780820853,0.8137552800082517
seattle,temp_min,multivariate,False,10,1455,1.7190822670048043,2.1890890104711667,0.8097628554069753
seattle,temp_min,multivariate_with_weather,True,10,1455,1.831699962017872,2.3547853165556383,0.7798741148579464
